name	CD_1	CD_2	CD_3	CD_4	CD_5	CD_6	CD_7	CD_8	CD_9	CD_10	CD_11	CD_12	CD_13	CD_14	CT_11	CT_12	CT_13	CT_14	CT_15	CT_16	CT_17	CT_18	CT_19	CT_20	CT_21	CT_22	CT_23	CT_24	CT_25	CT_26	CT_27	CT_28	CT_1	CT_2	CT_3	CT_4	CT_5	CT_6	CT_7	CT_8	CT_9	CD_28	CD_15	CD_16	CD_17	CD_18	CD_19	CD_20	CD_21	CD_22	CD_29	CD_30	CD_31	CD_32	CT_10	CD_23	CD_24	CD_25	CD_26	CD_27
g__Proteus	38	25	32	339	701	0	23	0	27	7	1471	8	13	5	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	4	6	16	27	7	0	3	5	0	14	5	0	4	0	4	8	6	301	0	3	0	16	19	15	70	3	0
g__Prevotella	0	2075	1654	0	94	57	0	118	69	0	0	62	212	0	25	205	0	11	0	42	35	0	0	0	0	233	43	0	0	6	0	0	23	0	47	0	7	583	8376	83	523	135	7	347	500	53	358	295	80	20760	226	92	440	382	81	31	45	28	11	45
g__Plesiomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	32	0	0	184	0	0	0	6	0	0	0	0	0	0	0	0	0	0
g__Piscinibacter	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	97	0	0
g__Phreatobacter	5	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0
g__PHOS-HE36	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0
g__Phocea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Phascolarctobacterium	15	509	30	1	0	2472	4	0	1	6	18	2	99	0	0	11	114	25	36	30	0	0	0	0	0	40	272	6	0	13	0	7	62	5	1872	337	42	2163	15	11	316	82	13	22	3551	65	49	35	7833	26	79	49	18	29	0	0	9	0	55	0
g__Peptostreptococcus	0	15	0	0	270	0	0	0	0	31	0	0	5	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	3	479	0	0	0	7	0	0	0	13	0	0	7	0	0	44	0	0	0	0	0	12	0	0	133	248	0	8
g__Peptoniphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
g__Peptococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	249	0	5	0	73	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Pediococcus	0	21	0	7	15	4	28	0	0	40	0	23	18	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	12	0	42	18	30	0	17	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	14	23	24	22
g__Parvimonas	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	41	0	0	0	81	10	2	7	2	0	0	0	0	0	0	0	0
g__Parasutterella	2	4	0	0	0	0	3	3	4	0	0	0	4	1	0	0	0	0	0	5	1321	0	3	0	0	16	0	0	0	135	5	0	389	51	527	487	7	0	6	266	61	4249	116	5177	669	62	66	196	763	139	92	92	594	49	62	0	0	0	0	198
g__Paraeggerthella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Parabacteroides	0	751	30	0	16	118	0	770	0	6	0	5756	1	0	110	19	852	297	37	0	498	39	1889	30	0	415	1472	12	15	6465	12	427	1647	35	227	114	7	1836	825	329	997	186	1	40	449	8	291	80	85	4	16	13	308	24	3	3	279	0	94	64
g__Oscillibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	6	0	0	0	0	17	0	17	9	0	0	0	0	0	15	4	0	0	0	37	14	0	6	0	0	0	4	0	0	6	7	0	0	0	0	0	108	0	0	0	11	0
g__OLB14	5	4	3	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
g__Odoribacter	0	39	17	0	0	0	0	0	0	0	0	100	0	0	0	0	45	0	0	0	5	0	0	0	0	11	0	0	0	0	0	0	53	0	2	3	0	465	3	68	55	4	0	11	221	3	29	60	0	5	6	3	43	7	0	0	131	0	0	0
g__NS11-12_marine_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Novosphingobium	0	6	0	0	2	0	0	3	14	1808	9	3	6	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	7	6	6	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	1103	0	0
g__Noviherbaspirillum	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	56	0	0
g__NK4A214_group	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	44	60	0	16	0	0	0	0	0	2	5	0	0	0	0	1	0	0	0	25	0	0	0
