name	CD_1	CD_2	CD_3	CD_4	CD_5	CD_6	CD_7	CD_8	CD_9	CD_10	CD_11	CD_12	CD_13	CD_14	CT_11	CT_12	CT_13	CT_14	CT_15	CT_16	CT_17	CT_18	CT_19	CT_20	CT_21	CT_22	CT_23	CT_24	CT_25	CT_26	CT_27	CT_28	CT_1	CT_2	CT_3	CT_4	CT_5	CT_6	CT_7	CT_8	CT_9	CD_28	CD_15	CD_16	CD_17	CD_18	CD_19	CD_20	CD_21	CD_22	CD_29	CD_30	CD_31	CD_32	CT_10	CD_23	CD_24	CD_25	CD_26	CD_27
9c71afe1de687753971632891726c939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	8	0	0	116	9	0	10	67	0	23	0	0	0	0	0	101
3e5a7e773b59e139bd7116f7c9ee3b7b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	3	0	137	0	0	28	4	0	11	76	3	11	60	0	0	0	0	43	7	0	0	0	0	0	0
accf63c7a7c00a05d17c51477a0002a2	58	0	0	19	0	0	25	0	0	0	321	0	0	3	4	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	6	0	0	18	0	24	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	6	2	0
48c92d566522a784489e19db7eb7ac31	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	38	0	0	0	0	89	0	0	49	0	0	0	0	0	0	0	67
381ddf121b4262c7a51684d4b4241e61	0	0	0	0	0	38	0	0	0	0	0	0	0	0	3	15	0	0	11	250	6	0	9	10	0	52	7	7	0	6	3	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3ba217d4bcc68501045d82fada4dcc20	0	15	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
37eb3eb1c3f1e24237a023603efd2926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	15	0	0	0
5a5c3d6f52d841ec7172e8de4b85df49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	13	0	0	426	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1e3693a275cdc7321fa82b476060fcb6	0	0	0	0	0	0	0	0	53	0	0	0	98	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	8	0	12	177	0	4	9	25	0	0	11	9	0	36	0	0	0	0	0
58dc89ef92ea33b986722d92f03ec4c9	0	0	35	0	0	0	0	0	8	3	2	0	11	0	0	7	14	300	2	2	3	0	10	27	0	0	0	31	7	0	0	0	3	12	0	27	36	0	0	0	1	0	0	0	0	0	1	0	4	1	0	0	1	0	0	0	0	3	0	0
b7a6bb22e05427b362a7d2c6db01aafd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	432	0	0	0	7	0	0	0	0	0	18	0	0	13	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a29c5f1cd193b4c43a86ce36b0e66e65	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	495	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
3c2cd9d9506983556ea464c1d82d2450	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	6	0	0	0	0	0	0	0	13	0	0	7	0	0	44	0	0	0	0	0	12	0	0	133	147	0	0
